"row_id","order_id","order_date","ship_date","customer_id","product_id","quantity","discount","sales","profit","ship_mode"
"44","ORD-03912","2023-07-24","2023-07-30","CUST-0043","PROD-0001","9","0.00","4116.42","1604.34","First Class"
"45","ORD-06110","2023-08-23","2023-08-29","CUST-0167","PROD-0018","9","0.00","705.87","253.71","Second Class"
"46","ORD-01183","2023-10-29","2023-11-01","CUST-0176","PROD-0020","11","0.05","555.21","219.05","Standard Class"
"47","ORD-03567","2025-07-04","2025-07-10","CUST-0104","PROD-0015","3","0.00","267.33","90.09","First Class"
"48","ORD-05515","2023-09-01","2023-09-06","CUST-0195","PROD-0016","11","0.00","399.30","133.98","Standard Class"
"49","ORD-03017","2024-12-05","2024-12-12","CUST-0035","PROD-0002","4","0.05","531.39","176.71","Standard Class"
"50","ORD-00786","2023-09-19","2023-09-24","CUST-0116","PROD-0012","3","0.20","663.77","124.28","Second Class"
"51","ORD-04584","2025-03-27","2025-04-02","CUST-0077","PROD-0032","2","0.05","340.04","89.70","Standard Class"
"52","ORD-03395","2025-03-09","2025-03-14","CUST-0092","PROD-0034","12","0.15","1894.45","342.97","Standard Class"
"53","ORD-00162","2025-05-10","2025-05-11","CUST-0158","PROD-0001","1","0.00","457.38","178.26","First Class"
"54","ORD-05717","2024-04-19","2024-04-21","CUST-0157","PROD-0015","6","0.05","507.93","153.45","Same Day"
"55","ORD-02630","2024-10-13","2024-10-15","CUST-0025","PROD-0003","7","0.00","1006.32","333.69","Standard Class"
"56","ORD-01719","2025-07-30","2025-08-05","CUST-0191","PROD-0001","7","0.10","2881.49","927.65","Second Class"
"57","ORD-00173","2024-01-07","2024-01-14","CUST-0165","PROD-0012","11","0.00","3042.27","1064.14","Second Class"
"58","ORD-00486","2024-05-16","2024-05-20","CUST-0166","PROD-0019","7","0.15","616.30","210.09","Standard Class"
"59","ORD-05197","2024-07-26","2024-07-27","CUST-0208","PROD-0012","3","0.10","746.74","207.25","Standard Class"
"60","ORD-00694","2025-04-18","2025-04-20","CUST-0158","PROD-0017","2","0.00","187.18","87.44","Second Class"
"61","ORD-02074","2025-03-13","2025-03-20","CUST-0181","PROD-0023","4","0.00","26.12","7.56","Standard Class"
"62","ORD-01333","2025-12-18","2025-12-23","CUST-0239","PROD-0032","11","0.05","1870.24","493.37","Standard Class"
"63","ORD-05730","2025-09-10","2025-09-13","CUST-0111","PROD-0029","5","0.15","198.13","48.23","Standard Class"
"64","ORD-05679","2025-10-08","2025-10-10","CUST-0127","PROD-0010","12","0.05","2086.09","481.81","Standard Class"
"65","ORD-06267","2025-10-31","2025-11-07","CUST-0235","PROD-0002","4","0.15","475.46","120.78","Standard Class"
"66","ORD-05085","2025-01-17","2025-01-20","CUST-0195","PROD-0037","8","0.15","4936.39","1404.79","Same Day"
"67","ORD-04974","2025-09-25","2025-09-28","CUST-0209","PROD-0037","12","0.00","8711.28","3413.88","Standard Class"
"68","ORD-00280","2024-04-19","2024-04-23","CUST-0024","PROD-0033","1","0.00","790.01","300.77","Standard Class"
"69","ORD-03540","2023-10-20","2023-10-26","CUST-0182","PROD-0017","12","0.00","1123.08","524.64","First Class"
"70","ORD-06241","2025-06-08","2025-06-13","CUST-0089","PROD-0039","5","0.00","3220.80","1129.95","Standard Class"
"71","ORD-01619","2025-09-11","2025-09-12","CUST-0126","PROD-0001","2","0.10","823.28","265.04","Standard Class"
"72","ORD-06243","2025-10-06","2025-10-08","CUST-0036","PROD-0016","12","0.00","435.60","146.16","Standard Class"
"73","ORD-03027","2025-09-21","2025-09-27","CUST-0161","PROD-0026","10","0.05","734.25","293.85","Standard Class"
"74","ORD-04214","2024-05-14","2024-05-17","CUST-0056","PROD-0013","1","0.20","414.13","105.33","Same Day"
"75","ORD-02712","2025-01-17","2025-01-19","CUST-0030","PROD-0017","4","0.00","374.36","174.88","Second Class"
"76","ORD-00846","2024-07-23","2024-07-30","CUST-0116","PROD-0019","5","0.00","517.90","227.75","Standard Class"
"77","ORD-00720","2025-12-05","2025-12-10","CUST-0155","PROD-0001","3","0.00","1372.14","534.78","Standard Class"
"78","ORD-03373","2024-06-17","2024-06-24","CUST-0211","PROD-0037","12","0.15","7404.59","2107.19","Second Class"
"79","ORD-02828","2024-05-14","2024-05-15","CUST-0036","PROD-0012","6","0.10","1493.48","414.50","Same Day"
"80","ORD-02400","2024-08-20","2024-08-24","CUST-0156","PROD-0038","1","0.00","166.10","41.29","Second Class"
"81","ORD-05257","2025-06-30","2025-07-04","CUST-0214","PROD-0023","3","0.10","17.63","3.71","Second Class"
"82","ORD-00554","2024-05-28","2024-05-30","CUST-0146","PROD-0002","4","0.15","475.46","120.78","Standard Class"
"83","ORD-03786","2025-11-09","2025-11-13","CUST-0226","PROD-0018","5","0.00","392.15","140.95","Second Class"
"84","ORD-04748","2024-07-08","2024-07-11","CUST-0104","PROD-0008","5","0.00","736.15","303.55","Standard Class"
"85","ORD-01803","2024-02-18","2024-02-24","CUST-0235","PROD-0032","6","0.15","912.75","161.73","First Class"
"86","ORD-01662","2024-03-06","2024-03-12","CUST-0208","PROD-0015","12","0.00","1069.32","360.36","First Class"
"87","ORD-01257","2025-04-27","2025-05-01","CUST-0125","PROD-0036","7","0.05","3300.99","775.32","Standard Class"
"88","ORD-05138","2025-01-23","2025-01-28","CUST-0105","PROD-0040","4","0.05","341.43","82.79","Second Class"
"89","ORD-04747","2025-11-27","2025-11-30","CUST-0158","PROD-0005","3","0.05","743.74","261.55","Standard Class"
"90","ORD-05514","2025-07-04","2025-07-08","CUST-0053","PROD-0007","5","0.05","1945.84","503.04","Standard Class"
"91","ORD-05019","2025-01-19","2025-01-22","CUST-0099","PROD-0029","10","0.10","419.58","119.78","Standard Class"
"92","ORD-05260","2024-09-27","2024-10-04","CUST-0055","PROD-0034","12","0.10","2005.88","454.40","Second Class"
"93","ORD-02672","2025-09-02","2025-09-06","CUST-0249","PROD-0026","8","0.00","618.32","266.00","Standard Class"
"94","ORD-04058","2025-07-09","2025-07-11","CUST-0244","PROD-0023","9","0.10","52.89","11.13","First Class"
"95","ORD-04994","2024-08-05","2024-08-08","CUST-0013","PROD-0034","9","0.15","1420.83","257.22","Standard Class"
"96","ORD-04187","2025-03-26","2025-03-28","CUST-0241","PROD-0001","5","0.15","1943.87","548.27","Standard Class"
"97","ORD-03177","2024-12-28","2025-01-03","CUST-0095","PROD-0015","5","0.00","445.55","150.15","First Class"
"98","ORD-03960","2023-09-17","2023-09-19","CUST-0112","PROD-0021","2","0.10","125.44","22.34","First Class"
"99","ORD-04412","2025-09-07","2025-09-10","CUST-0001","PROD-0024","10","0.00","886.20","401.40","Same Day"
"100","ORD-01875","2024-11-16","2024-11-23","CUST-0001","PROD-0029","3","0.05","132.87","42.93","Second Class"
"101","ORD-03571","2023-09-09","2023-09-14","CUST-0050","PROD-0038","4","0.20","531.52","32.28","Same Day"
"102","ORD-01123","2025-07-08","2025-07-14","CUST-0220","PROD-0037","10","0.00","7259.40","2844.90","Standard Class"
"103","ORD-04450","2024-12-14","2024-12-16","CUST-0103","PROD-0027","4","0.20","226.24","66.96","Standard Class"
"104","ORD-03832","2025-05-24","2025-05-31","CUST-0209","PROD-0027","5","0.05","335.82","136.72","Standard Class"
"105","ORD-00161","2025-04-30","2025-05-06","CUST-0213","PROD-0031","3","0.10","476.25","90.48","Standard Class"
"106","ORD-02092","2024-11-20","2024-11-23","CUST-0010","PROD-0040","6","0.00","539.10","151.14","Standard Class"
"107","ORD-01317","2023-07-03","2023-07-05","CUST-0236","PROD-0005","8","0.05","1983.30","697.46","First Class"
"108","ORD-01566","2025-01-18","2025-01-20","CUST-0229","PROD-0035","8","0.05","3180.14","894.54","First Class"
"109","ORD-04073","2024-07-08","2024-07-10","CUST-0026","PROD-0025","1","0.00","35.04","16.29","Standard Class"
"110","ORD-00683","2024-09-17","2024-09-21","CUST-0105","PROD-0025","11","0.00","385.44","179.19","Standard Class"
"111","ORD-05317","2024-08-21","2024-08-23","CUST-0064","PROD-0036","7","0.15","2953.52","427.85","First Class"
"112","ORD-05122","2024-11-05","2024-11-09","CUST-0067","PROD-0012","11","0.10","2738.04","759.91","Standard Class"
"113","ORD-05954","2025-04-16","2025-04-17","CUST-0031","PROD-0023","6","0.10","35.26","7.42","Second Class"
"114","ORD-06498","2025-07-25","2025-07-26","CUST-0039","PROD-0007","7","0.15","2437.42","417.50","Standard Class"
"115","ORD-02243","2025-05-08","2025-05-11","CUST-0241","PROD-0001","5","0.05","2172.55","776.95","Standard Class"
"116","ORD-01642","2025-09-15","2025-09-22","CUST-0214","PROD-0036","8","0.00","3971.12","1084.64","Standard Class"
"117","ORD-00378","2025-03-03","2025-03-05","CUST-0110","PROD-0030","7","0.05","3533.54","990.37","Standard Class"
"118","ORD-06183","2025-01-04","2025-01-09","CUST-0221","PROD-0016","9","0.00","326.70","109.62","Standard Class"
"119","ORD-05278","2024-09-25","2024-09-28","CUST-0154","PROD-0017","5","0.00","467.95","218.60","Standard Class"
"120","ORD-06422","2025-05-14","2025-05-20","CUST-0180","PROD-0005","10","0.15","2218.16","610.86","Standard Class"
"121","ORD-05842","2024-08-12","2024-08-13","CUST-0023","PROD-0003","1","0.20","115.01","18.92","Second Class"
"122","ORD-03806","2025-09-30","2025-10-06","CUST-0105","PROD-0011","12","0.00","5401.20","1295.04","First Class"
"123","ORD-01163","2024-05-26","2024-05-27","CUST-0099","PROD-0024","5","0.00","443.10","200.70","Standard Class"
"124","ORD-03299","2025-10-23","2025-10-28","CUST-0208","PROD-0032","12","0.10","1932.88","430.84","Standard Class"
"125","ORD-06166","2025-06-11","2025-06-17","CUST-0119","PROD-0015","11","0.05","931.20","281.32","Standard Class"
"126","ORD-04671","2024-06-20","2024-06-24","CUST-0076","PROD-0010","6","0.10","988.15","186.01","Standard Class"
"127","ORD-01861","2024-06-12","2024-06-17","CUST-0082","PROD-0022","8","0.00","225.28","90.08","Second Class"
"128","ORD-00946","2025-11-03","2025-11-10","CUST-0161","PROD-0036","4","0.00","1985.56","542.32","Standard Class"
"129","ORD-03425","2025-09-24","2025-10-01","CUST-0082","PROD-0003","4","0.05","546.29","161.93","Standard Class"
"130","ORD-04374","2025-06-11","2025-06-12","CUST-0173","PROD-0028","5","0.00","115.95","37.80","Second Class"
"131","ORD-03418","2025-04-19","2025-04-24","CUST-0109","PROD-0002","2","0.00","279.68","102.34","Standard Class"
"132","ORD-04736","2024-01-15","2024-01-22","CUST-0033","PROD-0038","12","0.15","1694.22","196.50","Standard Class"
"133","ORD-02278","2024-12-23","2024-12-24","CUST-0172","PROD-0038","4","0.15","564.74","65.50","Standard Class"
"134","ORD-05411","2024-08-01","2024-08-04","CUST-0151","PROD-0015","9","0.10","721.79","190.07","Standard Class"
"135","ORD-05483","2023-12-09","2023-12-12","CUST-0086","PROD-0015","10","0.00","891.10","300.30","Second Class"
"136","ORD-03666","2025-02-21","2025-02-23","CUST-0155","PROD-0025","8","0.00","280.32","130.32","First Class"
"137","ORD-02146","2023-12-23","2023-12-29","CUST-0036","PROD-0018","11","0.00","862.73","310.09","Standard Class"
"138","ORD-03563","2023-06-22","2023-06-26","CUST-0197","PROD-0008","12","0.00","1766.76","728.52","Second Class"
"139","ORD-04548","2025-12-16","2025-12-17","CUST-0132","PROD-0006","9","0.00","6366.96","2767.23","Standard Class"
"140","ORD-00335","2025-11-27","2025-12-04","CUST-0009","PROD-0012","6","0.00","1659.42","580.44","Standard Class"
"141","ORD-04366","2025-06-03","2025-06-08","CUST-0066","PROD-0029","1","0.00","46.62","16.64","First Class"
"142","ORD-04016","2024-06-26","2024-07-02","CUST-0185","PROD-0030","1","0.10","478.22","114.91","Second Class"
"143","ORD-04274","2023-11-15","2023-11-17","CUST-0207","PROD-0029","10","0.00","466.20","166.40","Standard Class"
"144","ORD-02475","2024-02-22","2024-02-29","CUST-0157","PROD-0028","4","0.00","92.76","30.24","Same Day"
"145","ORD-02924","2024-04-30","2024-05-07","CUST-0178","PROD-0031","8","0.00","1411.12","382.40","Standard Class"
"146","ORD-02992","2023-10-17","2023-10-20","CUST-0139","PROD-0007","3","0.05","1167.50","301.82","Standard Class"
"147","ORD-05358","2024-06-29","2024-07-03","CUST-0123","PROD-0004","4","0.10","2095.88","801.52","First Class"
"148","ORD-04201","2025-05-17","2025-05-20","CUST-0151","PROD-0025","8","0.00","280.32","130.32","Standard Class"
"149","ORD-00270","2024-07-05","2024-07-06","CUST-0186","PROD-0037","5","0.05","3448.22","1240.97","Second Class"
"150","ORD-05228","2024-07-13","2024-07-17","CUST-0217","PROD-0034","12","0.00","2228.76","677.28","Same Day"
"151","ORD-06115","2025-07-26","2025-08-02","CUST-0037","PROD-0005","5","0.00","1304.80","501.15","Second Class"
"152","ORD-03274","2024-11-08","2024-11-14","CUST-0185","PROD-0019","7","0.00","725.06","318.85","Standard Class"
"153","ORD-03853","2025-10-14","2025-10-21","CUST-0226","PROD-0025","4","0.15","119.14","44.14","Second Class"
"154","ORD-02254","2024-07-12","2024-07-15","CUST-0180","PROD-0028","11","0.10","229.58","57.65","Second Class"
"155","ORD-00954","2024-10-17","2024-10-21","CUST-0085","PROD-0034","9","0.00","1671.57","507.96","Standard Class"
"156","ORD-01271","2024-09-24","2024-09-25","CUST-0006","PROD-0039","12","0.05","7343.42","2325.38","First Class"
"157","ORD-03551","2024-06-18","2024-06-19","CUST-0139","PROD-0024","8","0.00","708.96","321.12","Second Class"
"158","ORD-02200","2023-10-23","2023-10-24","CUST-0003","PROD-0019","7","0.20","580.05","173.84","Second Class"
"159","ORD-03436","2025-01-10","2025-01-11","CUST-0081","PROD-0004","2","0.05","1106.16","458.98","Second Class"
"160","ORD-02433","2025-01-30","2025-02-01","CUST-0107","PROD-0013","2","0.10","931.79","314.19","Standard Class"
"161","ORD-03856","2024-06-16","2024-06-21","CUST-0128","PROD-0033","10","0.15","6715.09","1822.69","Standard Class"
"162","ORD-03805","2025-10-09","2025-10-11","CUST-0095","PROD-0004","5","0.15","2474.31","856.36","Standard Class"
"163","ORD-02739","2023-12-04","2023-12-05","CUST-0145","PROD-0031","12","0.05","2010.85","467.77","Standard Class"
"164","ORD-00206","2023-08-10","2023-08-12","CUST-0078","PROD-0011","6","0.15","2295.51","242.43","Standard Class"
"165","ORD-01593","2023-10-10","2023-10-12","CUST-0163","PROD-0010","3","0.00","548.97","147.90","Standard Class"
"166","ORD-00030","2024-11-15","2024-11-21","CUST-0154","PROD-0033","3","0.15","2014.53","546.81","Standard Class"
"167","ORD-03887","2025-09-12","2025-09-14","CUST-0065","PROD-0035","2","0.00","836.88","265.48","Standard Class"
"168","ORD-01847","2025-08-04","2025-08-11","CUST-0128","PROD-0007","1","0.00","409.65","121.09","First Class"
"169","ORD-06038","2025-12-12","2025-12-16","CUST-0174","PROD-0002","2","0.00","279.68","102.34","Second Class"
"170","ORD-05802","2024-07-10","2024-07-12","CUST-0156","PROD-0025","3","0.00","105.12","48.87","Standard Class"
"171","ORD-04755","2023-12-29","2024-01-01","CUST-0068","PROD-0006","10","0.00","7074.40","3074.70","Standard Class"
"172","ORD-03233","2024-05-28","2024-06-02","CUST-0065","PROD-0012","7","0.00","1935.99","677.18","Standard Class"
"173","ORD-06475","2025-04-08","2025-04-13","CUST-0076","PROD-0025","6","0.05","199.73","87.23","Standard Class"
"174","ORD-02132","2025-03-25","2025-03-26","CUST-0022","PROD-0010","10","0.05","1738.40","401.50","Second Class"
"175","ORD-04230","2023-07-08","2023-07-10","CUST-0093","PROD-0017","7","0.15","556.86","207.77","Second Class"
"176","ORD-04157","2024-10-20","2024-10-24","CUST-0053","PROD-0020","3","0.00","159.39","67.71","Standard Class"
"177","ORD-01736","2024-11-02","2024-11-03","CUST-0246","PROD-0018","7","0.00","549.01","197.33","Standard Class"
"178","ORD-02999","2025-04-07","2025-04-11","CUST-0250","PROD-0038","10","0.00","1661.00","412.90","Standard Class"
"179","ORD-01971","2024-06-21","2024-06-27","CUST-0164","PROD-0019","10","0.00","1035.80","455.50","Standard Class"
"180","ORD-00101","2025-10-25","2025-10-30","CUST-0030","PROD-0018","4","0.10","282.35","81.39","First Class"
"181","ORD-05481","2025-03-11","2025-03-15","CUST-0041","PROD-0028","6","0.10","125.23","31.45","First Class"
"182","ORD-05165","2023-03-16","2023-03-23","CUST-0216","PROD-0009","2","0.05","871.07","350.13","First Class"
"183","ORD-01202","2025-07-08","2025-07-09","CUST-0044","PROD-0035","12","0.00","5021.28","1592.88","Standard Class"
"184","ORD-02123","2024-09-18","2024-09-22","CUST-0231","PROD-0012","1","0.00","276.57","96.74","Standard Class"
"185","ORD-06037","2024-08-07","2024-08-08","CUST-0048","PROD-0010","10","0.00","1829.90","493.00","First Class"
"186","ORD-05904","2025-07-21","2025-07-23","CUST-0228","PROD-0039","8","0.05","4895.62","1550.26","Second Class"
"187","ORD-04304","2024-04-11","2024-04-15","CUST-0020","PROD-0031","5","0.05","837.85","194.90","Standard Class"
"188","ORD-03019","2025-11-26","2025-12-01","CUST-0185","PROD-0024","5","0.05","420.94","178.54","Standard Class"
"189","ORD-05266","2023-10-22","2023-10-25","CUST-0135","PROD-0022","10","0.00","281.60","112.60","First Class"
"190","ORD-00012","2023-11-11","2023-11-17","CUST-0120","PROD-0020","7","0.15","316.12","102.20","Standard Class"
"191","ORD-03303","2024-02-27","2024-03-04","CUST-0055","PROD-0032","6","0.00","1073.82","322.80","Same Day"
"192","ORD-00542","2025-11-21","2025-11-26","CUST-0039","PROD-0010","10","0.05","1738.40","401.50","Same Day"
"193","ORD-00009","2024-10-04","2024-10-10","CUST-0203","PROD-0038","4","0.00","664.40","165.16","Standard Class"
"194","ORD-05530","2023-07-28","2023-08-02","CUST-0120","PROD-0014","11","0.00","2056.56","817.85","Standard Class"
"195","ORD-03310","2025-01-21","2025-01-24","CUST-0171","PROD-0033","3","0.00","2370.03","902.31","Standard Class"
"196","ORD-03715","2023-03-11","2023-03-13","CUST-0043","PROD-0003","2","0.00","287.52","95.34","Second Class"
"197","ORD-04920","2025-11-20","2025-11-21","CUST-0245","PROD-0038","7","0.00","1162.70","289.03","Standard Class"
"198","ORD-02653","2025-08-26","2025-09-01","CUST-0032","PROD-0004","3","0.00","1746.57","775.80","Second Class"
"199","ORD-04540","2025-02-20","2025-02-22","CUST-0164","PROD-0002","6","0.00","839.04","307.02","Second Class"
"200","ORD-03112","2025-05-07","2025-05-08","CUST-0186","PROD-0005","10","0.10","2348.64","741.34","Standard Class"
"401","ORD-04511","2025-02-26","2025-02-28","CUST-0101","PROD-0021","10","0.05","662.05","146.55","Standard Class"
"402","ORD-01095","2025-05-22","2025-05-24","CUST-0106","PROD-0016","10","0.05","344.85","103.65","Standard Class"
"403","ORD-00586","2025-06-29","2025-07-04","CUST-0054","PROD-0011","3","0.00","1350.30","323.76","Second Class"
"404","ORD-02764","2025-07-13","2025-07-20","CUST-0164","PROD-0007","4","0.00","1638.60","484.36","Standard Class"
"405","ORD-05238","2024-05-12","2024-05-13","CUST-0200","PROD-0015","1","0.00","89.11","30.03","Standard Class"
"406","ORD-04330","2024-09-26","2024-09-27","CUST-0104","PROD-0012","12","0.00","3318.84","1160.88","Standard Class"
"407","ORD-04020","2025-06-25","2025-06-28","CUST-0166","PROD-0021","2","0.00","139.38","36.28","Standard Class"
"408","ORD-06354","2024-08-18","2024-08-19","CUST-0149","PROD-0014","1","0.00","186.96","74.35","Standard Class"
"409","ORD-03228","2025-06-30","2025-07-06","CUST-0001","PROD-0026","3","0.05","220.28","88.16","Second Class"
"410","ORD-03466","2025-11-27","2025-11-30","CUST-0189","PROD-0031","4","0.00","705.56","191.20","Second Class"
"411","ORD-03926","2024-10-11","2024-10-18","CUST-0001","PROD-0036","10","0.00","4963.90","1355.80","Second Class"
"412","ORD-03763","2024-04-09","2024-04-12","CUST-0098","PROD-0022","4","0.00","112.64","45.04","Standard Class"
"413","ORD-03818","2025-04-30","2025-05-02","CUST-0087","PROD-0011","4","0.00","1800.40","431.68","Same Day"
"414","ORD-03678","2025-10-03","2025-10-10","CUST-0244","PROD-0003","12","0.00","1725.12","572.04","Standard Class"
"415","ORD-04767","2023-09-01","2023-09-03","CUST-0025","PROD-0033","1","0.05","750.51","261.27","First Class"
"416","ORD-05637","2025-09-19","2025-09-23","CUST-0201","PROD-0036","1","0.05","471.57","110.76","First Class"
"417","ORD-03580","2025-03-31","2025-04-01","CUST-0008","PROD-0039","4","0.00","2576.64","903.96","Standard Class"
"418","ORD-03409","2025-11-19","2025-11-24","CUST-0075","PROD-0003","7","0.10","905.69","233.06","Standard Class"
"419","ORD-02233","2024-01-07","2024-01-14","CUST-0193","PROD-0035","2","0.00","836.88","265.48","Standard Class"
"420","ORD-02311","2025-10-11","2025-10-13","CUST-0082","PROD-0007","4","0.00","1638.60","484.36","Standard Class"
"421","ORD-06026","2023-07-09","2023-07-11","CUST-0232","PROD-0010","3","0.15","466.62","65.55","Standard Class"
"422","ORD-02356","2025-06-06","2025-06-11","CUST-0033","PROD-0010","5","0.15","777.71","109.26","Standard Class"
"423","ORD-06473","2025-09-01","2025-09-02","CUST-0050","PROD-0003","7","0.15","855.37","182.74","Same Day"
"424","ORD-02730","2023-12-20","2023-12-21","CUST-0171","PROD-0016","10","0.00","363.00","121.80","Standard Class"
"425","ORD-02876","2024-04-21","2024-04-25","CUST-0193","PROD-0010","10","0.10","1646.91","310.01","Second Class"
"426","ORD-05371","2025-05-22","2025-05-28","CUST-0202","PROD-0003","12","0.00","1725.12","572.04","First Class"
"427","ORD-01169","2025-03-26","2025-03-30","CUST-0235","PROD-0018","3","0.05","223.53","72.81","Second Class"
"428","ORD-01827","2024-09-10","2024-09-11","CUST-0041","PROD-0018","9","0.00","705.87","253.71","Same Day"
"429","ORD-02362","2024-01-30","2024-01-31","CUST-0124","PROD-0025","11","0.15","327.62","121.37","Standard Class"
"430","ORD-01716","2024-12-10","2024-12-14","CUST-0207","PROD-0001","11","0.00","5031.18","1960.86","Second Class"
"431","ORD-01267","2024-05-13","2024-05-17","CUST-0249","PROD-0018","7","0.00","549.01","197.33","Standard Class"
"432","ORD-05601","2023-10-01","2023-10-02","CUST-0071","PROD-0033","3","0.15","2014.53","546.81","First Class"
"433","ORD-05663","2025-02-26","2025-03-03","CUST-0121","PROD-0037","8","0.00","5807.52","2275.92","First Class"
"434","ORD-00502","2025-06-28","2025-07-05","CUST-0037","PROD-0008","9","0.15","1126.31","347.63","Same Day"
"435","ORD-01697","2025-08-23","2025-08-29","CUST-0188","PROD-0018","12","0.05","894.10","291.22","Second Class"
